世代,総移動コスト
1.0,533.58
2.0,533.58
3.0,533.58
4.0,604.9
5.0,604.9
6.0,533.58
7.0,604.9
8.0,533.58
9.0,533.58
10.0,604.9
11.0,604.9
12.0,604.9
13.0,533.58
14.0,533.58
15.0,533.58
16.0,604.9
17.0,604.9
18.0,533.58
19.0,533.58
20.0,604.9
21.0,604.9
22.0,604.9
23.0,533.58
24.0,604.9
25.0,604.9
26.0,533.58
27.0,533.58
28.0,604.9
29.0,604.9
30.0,533.58
31.0,604.9
32.0,533.58
33.0,533.58
34.0,604.9
35.0,533.58
36.0,533.58
37.0,604.9
38.0,533.58
39.0,533.58
40.0,604.9
41.0,533.58
42.0,604.9
43.0,533.58
44.0,604.9
45.0,604.9
46.0,533.58
47.0,604.9
48.0,604.9
49.0,604.9
50.0,533.58
51.0,604.9
52.0,604.9
53.0,604.9
54.0,533.58
55.0,533.58
56.0,533.58
57.0,604.9
58.0,604.9
59.0,604.9
60.0,604.9
61.0,533.58
62.0,533.58
63.0,533.58
64.0,604.9
65.0,604.9
66.0,604.9
67.0,533.58
68.0,604.9
69.0,533.58
70.0,604.9
71.0,533.58
72.0,533.58
73.0,533.58
74.0,533.58
75.0,604.9
76.0,604.9
77.0,604.9
78.0,604.9
79.0,604.9
80.0,533.58
81.0,604.9
82.0,533.58
83.0,604.9
84.0,533.58
85.0,604.9
86.0,604.9
87.0,533.58
88.0,604.9
89.0,604.9
90.0,533.58
91.0,604.9
92.0,604.9
93.0,533.58
94.0,533.58
95.0,533.58
96.0,533.58
97.0,533.58
98.0,604.9
99.0,604.9
100.0,533.58
