世代,ペナルティ関数値,総移動コスト
1.0,413.33,849.0
2.0,372.0,1257.75
3.0,352.0,1266.78
4.0,313.33,1272.08
5.0,292.0,1254.42
6.0,272.0,1264.2
7.0,272.0,1264.2
8.0,272.0,1259.95
9.0,254.67,1253.87
10.0,253.33,1259.83
11.0,253.33,1259.83
12.0,253.33,1283.43
13.0,253.33,1283.43
14.0,253.33,1283.43
15.0,253.33,1350.14
16.0,253.33,1350.14
17.0,232.0,1265.8
18.0,212.0,1262.62
19.0,212.0,1262.62
20.0,212.0,1262.62
21.0,212.0,1262.62
22.0,212.0,1262.62
23.0,212.0,1283.3
24.0,193.33,1271.41
25.0,174.67,1275.95
26.0,174.67,1275.95
27.0,174.67,1275.95
28.0,174.67,1275.95
29.0,174.67,1287.99
30.0,174.67,1287.99
31.0,174.67,1287.99
32.0,174.67,1264.95
33.0,174.67,1264.95
34.0,174.67,1264.95
35.0,174.67,1264.95
36.0,174.67,1264.95
